status,elapsed_secs,host_name,host_hash,shell_name,shell_hash,path
0,0.0086,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/t4014-format-patch.sh
0,0.0110,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/functions
0,0.0141,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/configure-helper.sh
0,0.0163,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/abuild
0,0.0136,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/Build.sh
0,0.0116,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/t9300-fast-import.sh
0,0.0325,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/test-cmd-util.sh
0,0.0349,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/ltmain.sh
0,0.0625,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/configure
0,0.1414,broome,d6f91c68,bash,6f84604a,benchmarks/testdata/configure-coreutils
0,0.0027,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/t4014-format-patch.sh
0,0.0035,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/functions
2,0.0020,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/configure-helper.sh
0,0.0044,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/abuild
0,0.0040,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/Build.sh
0,0.0031,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/t9300-fast-import.sh
2,0.0021,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/test-cmd-util.sh
0,0.0095,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/ltmain.sh
0,0.0177,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/configure
0,0.0308,broome,d6f91c68,dash,3ca0b057,benchmarks/testdata/configure-coreutils
0,0.0050,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/t4014-format-patch.sh
0,0.0084,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/functions
1,0.0092,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/configure-helper.sh
0,0.0121,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/abuild
0,0.0085,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/Build.sh
0,0.0059,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/t9300-fast-import.sh
1,0.0095,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/test-cmd-util.sh
0,0.0252,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/ltmain.sh
0,0.0407,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/configure
0,0.0943,broome,d6f91c68,mksh,fc451c2d,benchmarks/testdata/configure-coreutils
0,0.1041,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/t4014-format-patch.sh
0,0.0296,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/functions
0,0.0523,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/configure-helper.sh
0,0.0394,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/abuild
0,0.0972,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/Build.sh
0,0.1255,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/t9300-fast-import.sh
0,0.1304,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/test-cmd-util.sh
0,0.1476,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/ltmain.sh
0,0.3377,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/configure
0,1.0588,broome,d6f91c68,zsh,c6846721,benchmarks/testdata/configure-coreutils
0,0.0977,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/t4014-format-patch.sh
0,0.2673,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/functions
0,0.2692,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/configure-helper.sh
0,0.3586,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/abuild
0,0.2638,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/Build.sh
0,0.1314,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/t9300-fast-import.sh
0,0.7030,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/test-cmd-util.sh
0,0.8133,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/ltmain.sh
0,1.8492,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/configure
0,5.3098,broome,d6f91c68,osh,be4dbedb,benchmarks/testdata/configure-coreutils
0,0.1077,broome,d6f91c68,osh,df536089,benchmarks/testdata/t4014-format-patch.sh
0,0.2845,broome,d6f91c68,osh,df536089,benchmarks/testdata/functions
0,0.2862,broome,d6f91c68,osh,df536089,benchmarks/testdata/configure-helper.sh
0,0.3480,broome,d6f91c68,osh,df536089,benchmarks/testdata/abuild
0,0.2570,broome,d6f91c68,osh,df536089,benchmarks/testdata/Build.sh
0,0.1244,broome,d6f91c68,osh,df536089,benchmarks/testdata/t9300-fast-import.sh
0,0.8190,broome,d6f91c68,osh,df536089,benchmarks/testdata/test-cmd-util.sh
0,0.8645,broome,d6f91c68,osh,df536089,benchmarks/testdata/ltmain.sh
0,2.0535,broome,d6f91c68,osh,df536089,benchmarks/testdata/configure
0,5.9884,broome,d6f91c68,osh,df536089,benchmarks/testdata/configure-coreutils
