status,elapsed_secs,host_name,host_hash,shell_name,shell_hash,path
0,0.0089,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/t4014-format-patch.sh
0,0.0107,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/functions
0,0.0138,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/configure-helper.sh
0,0.0127,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/abuild
0,0.0128,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/Build.sh
0,0.0110,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/t9300-fast-import.sh
0,0.0299,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/test-cmd-util.sh
0,0.0361,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/ltmain.sh
0,0.0590,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/configure
0,0.1402,crosby,da57b8d4,bash,6f84604a,benchmarks/testdata/configure-coreutils
0,0.0028,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/t4014-format-patch.sh
0,0.0036,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/functions
2,0.0021,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/configure-helper.sh
0,0.0051,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/abuild
0,0.0038,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/Build.sh
0,0.0026,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/t9300-fast-import.sh
2,0.0021,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/test-cmd-util.sh
0,0.0099,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/ltmain.sh
0,0.0163,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/configure
0,0.0290,crosby,da57b8d4,dash,3ca0b057,benchmarks/testdata/configure-coreutils
0,0.0050,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/t4014-format-patch.sh
0,0.0083,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/functions
1,0.0094,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/configure-helper.sh
0,0.0091,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/abuild
0,0.0088,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/Build.sh
0,0.0058,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/t9300-fast-import.sh
1,0.0093,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/test-cmd-util.sh
0,0.0242,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/ltmain.sh
0,0.0403,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/configure
0,0.0956,crosby,da57b8d4,mksh,fc451c2d,benchmarks/testdata/configure-coreutils
0,0.0999,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/t4014-format-patch.sh
0,0.0303,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/functions
0,0.0530,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/configure-helper.sh
0,0.0397,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/abuild
0,0.0915,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/Build.sh
0,0.1202,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/t9300-fast-import.sh
0,0.1300,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/test-cmd-util.sh
0,0.1475,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/ltmain.sh
0,0.3473,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/configure
0,1.1217,crosby,da57b8d4,zsh,c6846721,benchmarks/testdata/configure-coreutils
0,0.1191,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/t4014-format-patch.sh
0,0.2917,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/functions
0,0.2989,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/configure-helper.sh
0,0.3868,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/abuild
0,0.3150,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/Build.sh
0,0.1339,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/t9300-fast-import.sh
0,0.8444,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/test-cmd-util.sh
0,0.8907,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/ltmain.sh
0,2.0728,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/configure
0,5.9161,crosby,da57b8d4,osh,7f37d837,benchmarks/testdata/configure-coreutils
0,0.0962,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/t4014-format-patch.sh
0,0.3011,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/functions
0,0.3211,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/configure-helper.sh
0,0.3897,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/abuild
0,0.3143,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/Build.sh
0,0.1094,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/t9300-fast-import.sh
0,0.8838,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/test-cmd-util.sh
0,0.9848,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/ltmain.sh
0,2.2627,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/configure
0,6.5343,crosby,da57b8d4,osh,b4cc5651,benchmarks/testdata/configure-coreutils
