Name:	osh
Umask:	0002
State:	R (running)
Tgid:	5329
Ngid:	0
Pid:	5329
PPid:	5328
TracerPid:	0
Uid:	1000	1000	1000	1000
Gid:	1000	1000	1000	1000
FDSize:	64
Groups:	4 24 27 30 46 113 128 1000 
NStgid:	5329
NSpid:	5329
NSpgid:	12918
NSsid:	2091
VmPeak:	   73432 kB
VmSize:	   73432 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	   60752 kB
VmRSS:	   60752 kB
RssAnon:	   57136 kB
RssFile:	    3616 kB
RssShmem:	       0 kB
VmData:	   57604 kB
VmStk:	     132 kB
VmExe:	    1136 kB
VmLib:	    3400 kB
VmPTE:	     164 kB
VmPMD:	      12 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
Threads:	1
SigQ:	1/14456
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000000000
SigIgn:	0000000001001000
SigCgt:	0000000000000002
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	0000003fffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Cpus_allowed:	f
Cpus_allowed_list:	0-3
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	1
nonvoluntary_ctxt_switches:	5
