status,elapsed_secs,host_name,host_hash,shell_name,shell_hash,path
0,0.0109,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/t4014-format-patch.sh
0,0.0140,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/functions
0,0.0171,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/configure-helper.sh
0,0.0180,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/abuild
0,0.0156,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/Build.sh
0,0.0167,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/t9300-fast-import.sh
0,0.0448,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/test-cmd-util.sh
0,0.0520,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/ltmain.sh
0,0.1122,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/configure
0,0.2848,flanders,b43270f9,bash,d685a43c,benchmarks/testdata/configure-coreutils
0,0.0037,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/t4014-format-patch.sh
0,0.0047,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/functions
2,0.0027,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/configure-helper.sh
0,0.0066,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/abuild
0,0.0053,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/Build.sh
0,0.0040,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/t9300-fast-import.sh
2,0.0028,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/test-cmd-util.sh
0,0.0166,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/ltmain.sh
0,0.0226,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/configure
0,0.0466,flanders,b43270f9,dash,2887d9e6,benchmarks/testdata/configure-coreutils
0,0.0063,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/t4014-format-patch.sh
0,0.0110,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/functions
1,0.0114,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/configure-helper.sh
0,0.0173,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/abuild
0,0.0117,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/Build.sh
0,0.0073,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/t9300-fast-import.sh
1,0.0125,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/test-cmd-util.sh
0,0.0342,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/ltmain.sh
0,0.0645,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/configure
0,0.1724,flanders,b43270f9,mksh,ae7d165b,benchmarks/testdata/configure-coreutils
0,0.1498,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/t4014-format-patch.sh
0,0.0496,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/functions
0,0.0879,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/configure-helper.sh
0,0.0699,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/abuild
0,0.1485,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/Build.sh
0,0.1914,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/t9300-fast-import.sh
0,0.2344,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/test-cmd-util.sh
0,0.2691,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/ltmain.sh
0,0.8129,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/configure
0,2.8280,flanders,b43270f9,zsh,ca7b4198,benchmarks/testdata/configure-coreutils
0,0.2291,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/t4014-format-patch.sh
0,0.5840,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/functions
0,0.6082,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/configure-helper.sh
0,0.8542,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/abuild
0,0.6302,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/Build.sh
0,0.2286,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/t9300-fast-import.sh
0,1.7990,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/test-cmd-util.sh
0,1.8914,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/ltmain.sh
0,4.6037,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/configure
0,14.9483,flanders,b43270f9,osh,a5e52340,benchmarks/testdata/configure-coreutils
0,0.1707,flanders,b43270f9,osh,35c56535,benchmarks/testdata/t4014-format-patch.sh
0,0.5462,flanders,b43270f9,osh,35c56535,benchmarks/testdata/functions
0,0.5849,flanders,b43270f9,osh,35c56535,benchmarks/testdata/configure-helper.sh
0,0.7241,flanders,b43270f9,osh,35c56535,benchmarks/testdata/abuild
0,0.5361,flanders,b43270f9,osh,35c56535,benchmarks/testdata/Build.sh
0,0.1841,flanders,b43270f9,osh,35c56535,benchmarks/testdata/t9300-fast-import.sh
0,1.6770,flanders,b43270f9,osh,35c56535,benchmarks/testdata/test-cmd-util.sh
0,2.0698,flanders,b43270f9,osh,35c56535,benchmarks/testdata/ltmain.sh
0,5.4186,flanders,b43270f9,osh,35c56535,benchmarks/testdata/configure
0,14.5133,flanders,b43270f9,osh,35c56535,benchmarks/testdata/configure-coreutils
