status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	shell_name	shell_hash	path	cachegrind_out_path
0	0.376689	0.364192	0.009724	47428	bash	36833674	benchmarks/testdata/t4014-format-patch.sh	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__t4014-format-patch.sh.txt
0	0.416872	0.394195	0.022564	47428	bash	36833674	benchmarks/testdata/functions	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__functions.txt
0	0.439634	0.427026	0.012589	47428	bash	36833674	benchmarks/testdata/configure-helper.sh	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__configure-helper.sh.txt
0	0.456991	0.448930	0.007976	47432	bash	36833674	benchmarks/testdata/abuild	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__abuild.txt
0	0.429151	0.412734	0.016466	47428	bash	36833674	benchmarks/testdata/Build.sh	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__Build.sh.txt
0	0.371055	0.350967	0.020069	47428	bash	36833674	benchmarks/testdata/t9300-fast-import.sh	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__t9300-fast-import.sh.txt
0	0.612505	0.592573	0.019940	47428	bash	36833674	benchmarks/testdata/test-cmd-util.sh	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__test-cmd-util.sh.txt
0	0.651203	0.642714	0.008563	47428	bash	36833674	benchmarks/testdata/ltmain.sh	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__ltmain.sh.txt
0	0.979424	0.963177	0.016014	47428	bash	36833674	benchmarks/testdata/configure	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__configure.txt
0	2.151043	2.130105	0.020272	47428	bash	36833674	benchmarks/testdata/configure-coreutils	hoover.2025-02-15__22-42-37.cachegrind/bash-36833674__configure-coreutils.txt
0	0.263399	0.246115	0.016519	46824	dash	cea41b3e	benchmarks/testdata/t4014-format-patch.sh	hoover.2025-02-15__22-42-37.cachegrind/dash-cea41b3e__t4014-format-patch.sh.txt
0	0.288758	0.252074	0.031253	46820	dash	cea41b3e	benchmarks/testdata/functions	hoover.2025-02-15__22-42-37.cachegrind/dash-cea41b3e__functions.txt
2	0.249747	0.235316	0.011822	46824	dash	cea41b3e	benchmarks/testdata/configure-helper.sh	hoover.2025-02-15__22-42-37.cachegrind/dash-cea41b3e__configure-helper.sh.txt
0	0.292862	0.288847	0.004008	46816	dash	cea41b3e	benchmarks/testdata/abuild	hoover.2025-02-15__22-42-37.cachegrind/dash-cea41b3e__abuild.txt
0	0.288967	0.253027	0.035823	46820	dash	cea41b3e	benchmarks/testdata/Build.sh	hoover.2025-02-15__22-42-37.cachegrind/dash-cea41b3e__Build.sh.txt
0	0.260889	0.232316	0.028508	46824	dash	cea41b3e	benchmarks/testdata/t9300-fast-import.sh	hoover.2025-02-15__22-42-37.cachegrind/dash-cea41b3e__t9300-fast-import.sh.txt
2	0.251765	0.239829	0.011886	46820	dash	cea41b3e	benchmarks/testdata/test-cmd-util.sh	hoover.2025-02-15__22-42-37.cachegrind/dash-cea41b3e__test-cmd-util.sh.txt
0	0.359337	0.338675	0.020556	46820	dash	cea41b3e	benchmarks/testdata/ltmain.sh	hoover.2025-02-15__22-42-37.cachegrind/dash-cea41b3e__ltmain.sh.txt
