status,elapsed_secs,user_secs,sys_secs,max_rss_KiB,host_name,host_hash,shell_name,shell_hash,path
0,0.001642,0.000000,0.001569,3344,hoover,ecba003d,bash,36833674,benchmarks/testdata/t4014-format-patch.sh
0,0.002163,0.002054,0.000000,3512,hoover,ecba003d,bash,36833674,benchmarks/testdata/functions
0,0.003238,0.003248,0.000000,3568,hoover,ecba003d,bash,36833674,benchmarks/testdata/configure-helper.sh
0,0.002982,0.002955,0.000000,3444,hoover,ecba003d,bash,36833674,benchmarks/testdata/abuild
0,0.002397,0.002321,0.000000,3524,hoover,ecba003d,bash,36833674,benchmarks/testdata/Build.sh
0,0.001792,0.001694,0.000000,3536,hoover,ecba003d,bash,36833674,benchmarks/testdata/t9300-fast-import.sh
0,0.007460,0.007225,0.000000,3588,hoover,ecba003d,bash,36833674,benchmarks/testdata/test-cmd-util.sh
0,0.009363,0.009261,0.000000,4464,hoover,ecba003d,bash,36833674,benchmarks/testdata/ltmain.sh
0,0.014401,0.014274,0.000000,4152,hoover,ecba003d,bash,36833674,benchmarks/testdata/configure
0,0.038909,0.033718,0.004214,3832,hoover,ecba003d,bash,36833674,benchmarks/testdata/configure-coreutils
0,0.000826,0.000729,0.000000,1680,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/t4014-format-patch.sh
0,0.001051,0.000983,0.000000,1656,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/functions
2,0.000769,0.000683,0.000000,1556,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/configure-helper.sh
0,0.001433,0.001369,0.000000,1664,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/abuild
0,0.001585,0.001380,0.000000,1656,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/Build.sh
0,0.001118,0.001048,0.000000,1676,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/t9300-fast-import.sh
2,0.000601,0.000000,0.000601,1548,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/test-cmd-util.sh
0,0.003373,0.003301,0.000000,2016,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/ltmain.sh
0,0.006413,0.006401,0.000000,2324,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/configure
0,0.015201,0.015105,0.000000,1792,hoover,ecba003d,dash,cea41b3e,benchmarks/testdata/configure-coreutils
