status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	shell_name	shell_hash	path	cachegrind_out_path
0	0.595233	0.585380	0.010221	35556	bash	9af8f89f	benchmarks/testdata/t4014-format-patch.sh	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__t4014-format-patch.sh.txt
0	0.656143	0.627847	0.028759	35588	bash	9af8f89f	benchmarks/testdata/functions	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__functions.txt
0	0.697409	0.666110	0.031894	35556	bash	9af8f89f	benchmarks/testdata/configure-helper.sh	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__configure-helper.sh.txt
0	0.779210	0.759580	0.016328	35588	bash	9af8f89f	benchmarks/testdata/abuild	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__abuild.txt
0	0.686801	0.661019	0.026264	35588	bash	9af8f89f	benchmarks/testdata/Build.sh	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__Build.sh.txt
0	0.727131	0.649272	0.046259	35556	bash	9af8f89f	benchmarks/testdata/t9300-fast-import.sh	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__t9300-fast-import.sh.txt
0	1.407324	1.383615	0.023999	35556	bash	9af8f89f	benchmarks/testdata/test-cmd-util.sh	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__test-cmd-util.sh.txt
0	1.543337	1.519676	0.024001	35588	bash	9af8f89f	benchmarks/testdata/ltmain.sh	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__ltmain.sh.txt
0	2.323648	2.291631	0.032327	35588	bash	9af8f89f	benchmarks/testdata/configure	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__configure.txt
0	6.023944	6.000216	0.024002	35560	bash	9af8f89f	benchmarks/testdata/configure-coreutils	lenny.2023-05-03__15-25-16.cachegrind/bash-9af8f89f__configure-coreutils.txt
0	0.351411	0.335970	0.015839	35076	dash	9ff48631	benchmarks/testdata/t4014-format-patch.sh	lenny.2023-05-03__15-25-16.cachegrind/dash-9ff48631__t4014-format-patch.sh.txt
0	0.346148	0.325989	0.020585	35104	dash	9ff48631	benchmarks/testdata/functions	lenny.2023-05-03__15-25-16.cachegrind/dash-9ff48631__functions.txt
2	0.332126	0.304306	0.028430	35076	dash	9ff48631	benchmarks/testdata/configure-helper.sh	lenny.2023-05-03__15-25-16.cachegrind/dash-9ff48631__configure-helper.sh.txt
0	0.378471	0.362546	0.016319	35108	dash	9ff48631	benchmarks/testdata/abuild	lenny.2023-05-03__15-25-16.cachegrind/dash-9ff48631__abuild.txt
0	0.361294	0.337150	0.024527	35108	dash	9ff48631	benchmarks/testdata/Build.sh	lenny.2023-05-03__15-25-16.cachegrind/dash-9ff48631__Build.sh.txt
0	0.318194	0.302724	0.016014	35076	dash	9ff48631	benchmarks/testdata/t9300-fast-import.sh	lenny.2023-05-03__15-25-16.cachegrind/dash-9ff48631__t9300-fast-import.sh.txt
2	0.307010	0.294969	0.012374	35076	dash	9ff48631	benchmarks/testdata/test-cmd-util.sh	lenny.2023-05-03__15-25-16.cachegrind/dash-9ff48631__test-cmd-util.sh.txt
