status,elapsed_secs,user_secs,sys_secs,max_rss_KiB,host_name,host_hash,shell_name,shell_hash,path
0,0.005586,0.005557,0.000000,3348,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/t4014-format-patch.sh
0,0.004688,0.004656,0.000000,3276,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/functions
0,0.006820,0.006787,0.000000,3408,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/configure-helper.sh
0,0.006784,0.006750,0.000000,3360,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/abuild
0,0.005652,0.005619,0.000000,3368,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/Build.sh
0,0.005224,0.005180,0.000000,3252,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/t9300-fast-import.sh
0,0.016395,0.016176,0.000000,3416,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/test-cmd-util.sh
0,0.016995,0.016960,0.000000,4380,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/ltmain.sh
0,0.033559,0.029798,0.003724,3936,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/configure
0,0.093757,0.093719,0.000000,3664,lenny,098a8e52,bash,9af8f89f,benchmarks/testdata/configure-coreutils
0,0.000609,0.000572,0.000000,1656,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/t4014-format-patch.sh
0,0.000867,0.000834,0.000000,1692,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/functions
2,0.000400,0.000354,0.000000,1740,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/configure-helper.sh
0,0.001193,0.000000,0.001144,1664,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/abuild
0,0.001228,0.000982,0.000000,1700,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/Build.sh
0,0.000695,0.000658,0.000000,1620,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/t9300-fast-import.sh
2,0.000405,0.000369,0.000000,1696,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/test-cmd-util.sh
0,0.002910,0.002874,0.000000,2160,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/ltmain.sh
0,0.006271,0.006230,0.000000,2460,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/configure
0,0.018540,0.014805,0.003701,1828,lenny,098a8e52,dash,9ff48631,benchmarks/testdata/configure-coreutils
