Name:	python2
Umask:	0002
State:	R (running)
Tgid:	12426
Ngid:	0
Pid:	12426
PPid:	12425
TracerPid:	0
Uid:	1000	1000	1000	1000
Gid:	1000	1000	1000	1000
FDSize:	128
Groups:	4 24 27 30 46 113 128 1000 
NStgid:	12426
NSpid:	12426
NSpgid:	3289
NSsid:	13483
VmPeak:	   88916 kB
VmSize:	   88916 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	   52524 kB
VmRSS:	   52524 kB
RssAnon:	   47572 kB
RssFile:	    4952 kB
RssShmem:	       0 kB
VmData:	   48344 kB
VmStk:	     132 kB
VmExe:	    2932 kB
VmLib:	    3820 kB
VmPTE:	     220 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
CoreDumping:	0
Threads:	1
SigQ:	1/95954
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000000000
SigIgn:	0000000001001000
SigCgt:	0000000188000002
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	0000003fffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Speculation_Store_Bypass:	thread vulnerable
Cpus_allowed:	ff
Cpus_allowed_list:	0-7
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	3
nonvoluntary_ctxt_switches:	9
