status,elapsed_secs,user_secs,sys_secs,max_rss_KiB,host_name,host_hash,shell_name,shell_hash,path
0,0.003036,0.003036,0.000000,3164,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/t4014-format-patch.sh
0,0.003609,0.003608,0.000000,3132,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/functions
0,0.004909,0.004881,0.000000,3184,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/configure-helper.sh
0,0.005344,0.005332,0.000000,3120,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/abuild
0,0.004298,0.000000,0.004282,3168,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/Build.sh
0,0.004285,0.004279,0.000000,3044,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/t9300-fast-import.sh
0,0.015031,0.015013,0.000000,3268,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/test-cmd-util.sh
0,0.017163,0.017166,0.000000,4244,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/ltmain.sh
0,0.034248,0.026610,0.007603,3876,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/configure
0,0.093860,0.093855,0.000000,3504,lisa,c6f24b89,bash,d685a43c,benchmarks/testdata/configure-coreutils
0,0.000770,0.000747,0.000000,1536,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/t4014-format-patch.sh
0,0.001278,0.001273,0.000000,1540,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/functions
2,0.000392,0.000412,0.000000,1664,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/configure-helper.sh
0,0.001406,0.001377,0.000000,1576,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/abuild
0,0.001284,0.001276,0.000000,1484,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/Build.sh
0,0.000822,0.000790,0.000000,1532,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/t9300-fast-import.sh
2,0.000405,0.000403,0.000000,1524,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/test-cmd-util.sh
0,0.003782,0.003765,0.000000,2012,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/ltmain.sh
0,0.007623,0.007624,0.000000,2104,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/configure
0,0.028274,0.028249,0.000000,1552,lisa,c6f24b89,dash,2887d9e6,benchmarks/testdata/configure-coreutils
0,0.001306,0.001277,0.000000,1652,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/t4014-format-patch.sh
0,0.002476,0.002459,0.000000,1724,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/functions
1,0.003011,0.003003,0.000000,1732,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/configure-helper.sh
0,0.003801,0.003793,0.000000,1736,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/abuild
0,0.002931,0.002911,0.000000,1732,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/Build.sh
0,0.001539,0.001528,0.000000,1796,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/t9300-fast-import.sh
1,0.002887,0.002890,0.000000,1948,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/test-cmd-util.sh
0,0.010884,0.007193,0.003596,2720,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/ltmain.sh
0,0.024457,0.024436,0.000000,2296,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/configure
0,0.057649,0.057637,0.000000,1952,lisa,c6f24b89,mksh,ae7d165b,benchmarks/testdata/configure-coreutils
0,0.056073,0.038004,0.021975,3680,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/t4014-format-patch.sh
0,0.022274,0.011135,0.011135,3644,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/functions
0,0.038783,0.027848,0.011290,3600,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/configure-helper.sh
0,0.037602,0.016935,0.020749,3532,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/abuild
0,0.056969,0.048005,0.012061,3668,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/Build.sh
0,0.073118,0.061882,0.015871,3636,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/t9300-fast-import.sh
0,0.113987,0.097663,0.016277,3664,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/test-cmd-util.sh
0,0.126736,0.070108,0.056857,4092,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/ltmain.sh
0,0.294468,0.218929,0.078174,3876,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/configure
0,0.915360,0.733684,0.197543,3584,lisa,c6f24b89,zsh,ca7b4198,benchmarks/testdata/configure-coreutils
0,0.091126,0.078780,0.011624,15828,lisa,c6f24b89,osh,93b2aad2,benchmarks/testdata/t4014-format-patch.sh
0,0.261712,0.244552,0.015710,18656,lisa,c6f24b89,osh,93b2aad2,benchmarks/testdata/functions
0,0.274899,0.266264,0.007914,19164,lisa,c6f24b89,osh,93b2aad2,benchmarks/testdata/configure-helper.sh
0,0.388529,0.380359,0.007986,20872,lisa,c6f24b89,osh,93b2aad2,benchmarks/testdata/abuild
0,0.290034,0.281829,0.008020,19468,lisa,c6f24b89,osh,93b2aad2,benchmarks/testdata/Build.sh
0,0.097055,0.091437,0.004107,16420,lisa,c6f24b89,osh,93b2aad2,benchmarks/testdata/t9300-fast-import.sh
0,0.837204,0.807437,0.027941,29888,lisa,c6f24b89,osh,93b2aad2,benchmarks/testdata/test-cmd-util.sh
0,0.957281,0.936947,0.019996,31660,lisa,c6f24b89,osh,93b2aad2,benchmarks/testdata/ltmain.sh
0,2.084172,2.063865,0.019988,52500,lisa,c6f24b89,osh,93b2aad2,benchmarks/testdata/configure
