status,elapsed_secs,user_secs,sys_secs,max_rss_KiB,host_name,host_hash,shell_name,shell_hash,path
0,0.003264,0.000000,0.003233,3476,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/t4014-format-patch.sh
0,0.003913,0.003884,0.000000,3604,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/functions
0,0.005724,0.005706,0.000000,3700,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/configure-helper.sh
0,0.005440,0.005412,0.000000,3628,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/abuild
0,0.005359,0.005331,0.000000,3720,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/Build.sh
0,0.003909,0.003888,0.000000,3460,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/t9300-fast-import.sh
0,0.013335,0.013307,0.000000,3832,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/test-cmd-util.sh
0,0.016842,0.016811,0.000000,4452,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/ltmain.sh
0,0.030981,0.030951,0.000000,4224,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/configure
0,0.071296,0.071278,0.000000,3964,mercer,9a086e68,bash,7a134b76,benchmarks/testdata/configure-coreutils
0,0.001509,0.000000,0.001479,1976,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/t4014-format-patch.sh
0,0.002130,0.000000,0.002102,1868,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/functions
2,0.000894,0.000865,0.000000,1716,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/configure-helper.sh
0,0.002725,0.000000,0.002687,1808,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/abuild
0,0.002446,0.002416,0.000000,1892,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/Build.sh
0,0.002348,0.002309,0.000000,1696,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/t9300-fast-import.sh
2,0.000843,0.000824,0.000000,1792,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/test-cmd-util.sh
0,0.006108,0.006082,0.000000,2348,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/ltmain.sh
0,0.013462,0.013441,0.000000,2696,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/configure
0,0.027395,0.027378,0.000000,1884,mercer,9a086e68,dash,cca104f5,benchmarks/testdata/configure-coreutils
0,0.002799,0.002770,0.000000,2404,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/t4014-format-patch.sh
0,0.005195,0.005164,0.000000,2292,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/functions
1,0.005287,0.005273,0.000000,2584,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/configure-helper.sh
0,0.006159,0.006128,0.000000,2608,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/abuild
0,0.005096,0.005064,0.000000,2392,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/Build.sh
0,0.003227,0.003197,0.000000,2292,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/t9300-fast-import.sh
1,0.004485,0.004459,0.000000,2596,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/test-cmd-util.sh
0,0.015290,0.015259,0.000000,3508,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/ltmain.sh
0,0.031431,0.031399,0.000000,3124,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/configure
0,0.071054,0.071021,0.000000,2648,mercer,9a086e68,mksh,c5e36f1e,benchmarks/testdata/configure-coreutils
0,0.083678,0.066752,0.023128,5020,mercer,9a086e68,zsh,69237459,benchmarks/testdata/t4014-format-patch.sh
0,0.009235,0.004597,0.004597,5132,mercer,9a086e68,zsh,69237459,benchmarks/testdata/functions
0,0.016983,0.012943,0.004485,5060,mercer,9a086e68,zsh,69237459,benchmarks/testdata/configure-helper.sh
0,0.010598,0.003888,0.006742,4964,mercer,9a086e68,zsh,69237459,benchmarks/testdata/abuild
0,0.067759,0.043957,0.030313,4980,mercer,9a086e68,zsh,69237459,benchmarks/testdata/Build.sh
0,0.091375,0.067419,0.031145,5116,mercer,9a086e68,zsh,69237459,benchmarks/testdata/t9300-fast-import.sh
0,0.022421,0.022381,0.000000,5024,mercer,9a086e68,zsh,69237459,benchmarks/testdata/test-cmd-util.sh
0,0.075340,0.060235,0.015424,5652,mercer,9a086e68,zsh,69237459,benchmarks/testdata/ltmain.sh
0,0.135361,0.101695,0.038214,5420,mercer,9a086e68,zsh,69237459,benchmarks/testdata/configure
0,0.535658,0.381180,0.181785,5196,mercer,9a086e68,zsh,69237459,benchmarks/testdata/configure-coreutils
0,0.149575,0.133746,0.015603,19084,mercer,9a086e68,osh,186eeb39,benchmarks/testdata/t4014-format-patch.sh
0,0.393590,0.373335,0.019983,20876,mercer,9a086e68,osh,186eeb39,benchmarks/testdata/functions
0,0.387001,0.374709,0.012048,21196,mercer,9a086e68,osh,186eeb39,benchmarks/testdata/configure-helper.sh
0,0.534639,0.514358,0.020026,22032,mercer,9a086e68,osh,186eeb39,benchmarks/testdata/abuild
0,0.420269,0.406928,0.013120,21312,mercer,9a086e68,osh,186eeb39,benchmarks/testdata/Build.sh
0,0.144225,0.116244,0.027777,18844,mercer,9a086e68,osh,186eeb39,benchmarks/testdata/t9300-fast-import.sh
