status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	shell_name	shell_hash	path	cachegrind_out_path
0	0.503766	0.478234	0.020568	35448	bash	9af8f89f	benchmarks/testdata/t4014-format-patch.sh	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__t4014-format-patch.sh.txt
0	0.515832	0.496145	0.019958	35504	bash	9af8f89f	benchmarks/testdata/functions	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__functions.txt
0	0.583577	0.575445	0.008374	35508	bash	9af8f89f	benchmarks/testdata/configure-helper.sh	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__configure-helper.sh.txt
0	0.593405	0.568151	0.025516	35508	bash	9af8f89f	benchmarks/testdata/abuild	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__abuild.txt
0	0.546539	0.514542	0.032266	35500	bash	9af8f89f	benchmarks/testdata/Build.sh	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__Build.sh.txt
0	0.521309	0.509558	0.012004	35508	bash	9af8f89f	benchmarks/testdata/t9300-fast-import.sh	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__t9300-fast-import.sh.txt
0	1.095195	1.046307	0.011963	35508	bash	9af8f89f	benchmarks/testdata/test-cmd-util.sh	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__test-cmd-util.sh.txt
0	1.139481	1.123735	0.015973	35504	bash	9af8f89f	benchmarks/testdata/ltmain.sh	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__ltmain.sh.txt
0	1.931866	1.904017	0.027981	35504	bash	9af8f89f	benchmarks/testdata/configure	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__configure.txt
0	4.366724	4.358711	0.008002	35512	bash	9af8f89f	benchmarks/testdata/configure-coreutils	no-host.2022-03-26__13-31-36.cachegrind/bash-9af8f89f__configure-coreutils.txt
0	0.277033	0.266401	0.010936	35028	dash	9ff48631	benchmarks/testdata/t4014-format-patch.sh	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__t4014-format-patch.sh.txt
0	0.299389	0.282064	0.017614	35028	dash	9ff48631	benchmarks/testdata/functions	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__functions.txt
2	0.259835	0.241303	0.018793	35028	dash	9ff48631	benchmarks/testdata/configure-helper.sh	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__configure-helper.sh.txt
0	0.305665	0.289675	0.016216	35028	dash	9ff48631	benchmarks/testdata/abuild	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__abuild.txt
0	0.303950	0.292289	0.011963	35028	dash	9ff48631	benchmarks/testdata/Build.sh	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__Build.sh.txt
0	0.274031	0.248706	0.025611	35028	dash	9ff48631	benchmarks/testdata/t9300-fast-import.sh	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__t9300-fast-import.sh.txt
2	0.263980	0.235968	0.028292	35028	dash	9ff48631	benchmarks/testdata/test-cmd-util.sh	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__test-cmd-util.sh.txt
0	0.367972	0.359914	0.008354	35024	dash	9ff48631	benchmarks/testdata/ltmain.sh	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__ltmain.sh.txt
0	0.482336	0.450785	0.031825	35028	dash	9ff48631	benchmarks/testdata/configure	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__configure.txt
0	0.818411	0.794356	0.024272	35024	dash	9ff48631	benchmarks/testdata/configure-coreutils	no-host.2022-03-26__13-31-36.cachegrind/dash-9ff48631__configure-coreutils.txt
0	0.365231	0.344202	0.020576	34984	mksh	e3755400	benchmarks/testdata/t4014-format-patch.sh	no-host.2022-03-26__13-31-36.cachegrind/mksh-e3755400__t4014-format-patch.sh.txt
0	0.435606	0.415969	0.019939	35004	mksh	e3755400	benchmarks/testdata/functions	no-host.2022-03-26__13-31-36.cachegrind/mksh-e3755400__functions.txt
1	0.443482	0.443408	0.000319	34996	mksh	e3755400	benchmarks/testdata/configure-helper.sh	no-host.2022-03-26__13-31-36.cachegrind/mksh-e3755400__configure-helper.sh.txt
0	0.489005	0.470031	0.019217	35004	mksh	e3755400	benchmarks/testdata/abuild	no-host.2022-03-26__13-31-36.cachegrind/mksh-e3755400__abuild.txt
0	0.435623	0.415929	0.019934	35004	mksh	e3755400	benchmarks/testdata/Build.sh	no-host.2022-03-26__13-31-36.cachegrind/mksh-e3755400__Build.sh.txt
0	0.364996	0.345003	0.020254	35000	mksh	e3755400	benchmarks/testdata/t9300-fast-import.sh	no-host.2022-03-26__13-31-36.cachegrind/mksh-e3755400__t9300-fast-import.sh.txt
1	0.440589	0.428853	0.011991	35000	mksh	e3755400	benchmarks/testdata/test-cmd-util.sh	no-host.2022-03-26__13-31-36.cachegrind/mksh-e3755400__test-cmd-util.sh.txt
0	0.695648	0.671546	0.024327	35004	mksh	e3755400	benchmarks/testdata/ltmain.sh	no-host.2022-03-26__13-31-36.cachegrind/mksh-e3755400__ltmain.sh.txt
