status,elapsed_secs,user_secs,sys_secs,max_rss_KiB,host_name,host_hash,shell_name,shell_hash,path
0,0.005655,0.005659,0.000000,3180,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/t4014-format-patch.sh
0,0.010165,0.010135,0.000000,3268,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/functions
0,0.014739,0.014718,0.000000,3276,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/configure-helper.sh
0,0.013712,0.013676,0.000000,3336,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/abuild
0,0.011516,0.011512,0.000000,3324,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/Build.sh
0,0.011020,0.010990,0.000000,3252,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/t9300-fast-import.sh
0,0.030809,0.026924,0.003846,3460,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/test-cmd-util.sh
0,0.034514,0.034458,0.000000,4204,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/ltmain.sh
0,0.059096,0.059065,0.000000,3944,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/configure
0,0.139343,0.139310,0.000000,3612,spring,d80ab850,bash,9af8f89f,benchmarks/testdata/configure-coreutils
0,0.001777,0.001759,0.000000,1696,spring,d80ab850,dash,9ff48631,benchmarks/testdata/t4014-format-patch.sh
0,0.002697,0.002670,0.000000,1736,spring,d80ab850,dash,9ff48631,benchmarks/testdata/functions
2,0.001059,0.001028,0.000000,1724,spring,d80ab850,dash,9ff48631,benchmarks/testdata/configure-helper.sh
0,0.003275,0.003276,0.000000,1780,spring,d80ab850,dash,9ff48631,benchmarks/testdata/abuild
0,0.003187,0.003165,0.000000,1740,spring,d80ab850,dash,9ff48631,benchmarks/testdata/Build.sh
0,0.002170,0.002140,0.000000,1636,spring,d80ab850,dash,9ff48631,benchmarks/testdata/t9300-fast-import.sh
2,0.001110,0.001130,0.000000,1724,spring,d80ab850,dash,9ff48631,benchmarks/testdata/test-cmd-util.sh
0,0.006914,0.006892,0.000000,2084,spring,d80ab850,dash,9ff48631,benchmarks/testdata/ltmain.sh
0,0.018077,0.018047,0.000000,2352,spring,d80ab850,dash,9ff48631,benchmarks/testdata/configure
0,0.035593,0.035541,0.000000,1848,spring,d80ab850,dash,9ff48631,benchmarks/testdata/configure-coreutils
0,0.003850,0.000000,0.003819,1780,spring,d80ab850,mksh,e3755400,benchmarks/testdata/t4014-format-patch.sh
0,0.007325,0.007287,0.000000,1908,spring,d80ab850,mksh,e3755400,benchmarks/testdata/functions
1,0.007636,0.007580,0.000000,1908,spring,d80ab850,mksh,e3755400,benchmarks/testdata/configure-helper.sh
0,0.010828,0.010798,0.000000,1812,spring,d80ab850,mksh,e3755400,benchmarks/testdata/abuild
0,0.008270,0.005513,0.002756,1876,spring,d80ab850,mksh,e3755400,benchmarks/testdata/Build.sh
0,0.005250,0.002632,0.002632,1908,spring,d80ab850,mksh,e3755400,benchmarks/testdata/t9300-fast-import.sh
1,0.008280,0.004147,0.004147,2128,spring,d80ab850,mksh,e3755400,benchmarks/testdata/test-cmd-util.sh
0,0.022307,0.018590,0.003718,2944,spring,d80ab850,mksh,e3755400,benchmarks/testdata/ltmain.sh
0,0.038557,0.038520,0.000000,2652,spring,d80ab850,mksh,e3755400,benchmarks/testdata/configure
0,0.094949,0.090956,0.003954,2252,spring,d80ab850,mksh,e3755400,benchmarks/testdata/configure-coreutils
0,0.088784,0.059897,0.036582,4024,spring,d80ab850,zsh,a785003a,benchmarks/testdata/t4014-format-patch.sh
0,0.010612,0.010577,0.000000,4020,spring,d80ab850,zsh,a785003a,benchmarks/testdata/functions
0,0.017998,0.012875,0.005563,4048,spring,d80ab850,zsh,a785003a,benchmarks/testdata/configure-helper.sh
0,0.017217,0.008952,0.008314,4012,spring,d80ab850,zsh,a785003a,benchmarks/testdata/abuild
0,0.068818,0.045612,0.029346,3876,spring,d80ab850,zsh,a785003a,benchmarks/testdata/Build.sh
0,0.102738,0.068855,0.041426,3872,spring,d80ab850,zsh,a785003a,benchmarks/testdata/t9300-fast-import.sh
0,0.026290,0.026251,0.000000,3884,spring,d80ab850,zsh,a785003a,benchmarks/testdata/test-cmd-util.sh
0,0.043112,0.038231,0.005278,4396,spring,d80ab850,zsh,a785003a,benchmarks/testdata/ltmain.sh
0,0.115143,0.091098,0.029022,4312,spring,d80ab850,zsh,a785003a,benchmarks/testdata/configure
0,0.579044,0.473497,0.134987,3964,spring,d80ab850,zsh,a785003a,benchmarks/testdata/configure-coreutils
0,0.165173,0.144214,0.020829,17496,spring,d80ab850,osh,6e663854,benchmarks/testdata/t4014-format-patch.sh
0,0.460768,0.448102,0.012576,20248,spring,d80ab850,osh,6e663854,benchmarks/testdata/functions
0,0.495525,0.470102,0.025348,20992,spring,d80ab850,osh,6e663854,benchmarks/testdata/configure-helper.sh
0,0.669096,0.657097,0.012039,22696,spring,d80ab850,osh,6e663854,benchmarks/testdata/abuild
0,0.511235,0.479459,0.031772,21188,spring,d80ab850,osh,6e663854,benchmarks/testdata/Build.sh
0,0.171241,0.167193,0.003918,17864,spring,d80ab850,osh,6e663854,benchmarks/testdata/t9300-fast-import.sh
0,1.433786,1.409863,0.023918,32632,spring,d80ab850,osh,6e663854,benchmarks/testdata/test-cmd-util.sh
0,1.555930,1.526923,0.028934,34300,spring,d80ab850,osh,6e663854,benchmarks/testdata/ltmain.sh
0,3.388524,3.340536,0.047908,56956,spring,d80ab850,osh,6e663854,benchmarks/testdata/configure
0,9.971204,9.890870,0.079999,127328,spring,d80ab850,osh,6e663854,benchmarks/testdata/configure-coreutils
0,0.157748,0.149820,0.007885,14052,spring,d80ab850,osh,36a2bc5b,benchmarks/testdata/t4014-format-patch.sh
0,0.493586,0.481495,0.012037,16776,spring,d80ab850,osh,36a2bc5b,benchmarks/testdata/functions
0,0.531181,0.531132,0.000000,17284,spring,d80ab850,osh,36a2bc5b,benchmarks/testdata/configure-helper.sh
0,0.712163,0.704125,0.008001,18684,spring,d80ab850,osh,36a2bc5b,benchmarks/testdata/abuild
0,0.525056,0.517060,0.007954,17568,spring,d80ab850,osh,36a2bc5b,benchmarks/testdata/Build.sh
0,0.172199,0.164161,0.008007,14376,spring,d80ab850,osh,36a2bc5b,benchmarks/testdata/t9300-fast-import.sh
0,1.477578,1.449350,0.028026,27292,spring,d80ab850,osh,36a2bc5b,benchmarks/testdata/test-cmd-util.sh
