Name:	osh
Umask:	0002
State:	R (running)
Tgid:	16620
Ngid:	0
Pid:	16620
PPid:	16619
TracerPid:	0
Uid:	1000	1000	1000	1000
Gid:	1000	1000	1000	1000
FDSize:	64
Groups:	4 24 27 30 46 113 128 1000 
NStgid:	16620
NSpid:	16620
NSpgid:	27120
NSsid:	9375
VmPeak:	   20980 kB
VmSize:	   20980 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	    7924 kB
VmRSS:	    7924 kB
RssAnon:	    4800 kB
RssFile:	    3124 kB
RssShmem:	       0 kB
VmData:	    5152 kB
VmStk:	     132 kB
VmExe:	    1136 kB
VmLib:	    3400 kB
VmPTE:	      52 kB
VmPMD:	      12 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
Threads:	1
SigQ:	1/95989
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000000000
SigIgn:	0000000001001000
SigCgt:	0000000000000002
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	0000003fffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Cpus_allowed:	ff
Cpus_allowed_list:	0-7
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	1
nonvoluntary_ctxt_switches:	1
