status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	task_id	host_name	sh_path	workload
0	0.002186	0.002119	0.000000	3316	0	broome	bash	hello-world
0	0.041021	0.035194	0.006850	4784	1	broome	bash	abuild-print-help
0	26.884036	19.810863	7.952665	26588	2	broome	bash	configure.cpython
0	6.166329	3.671598	1.582001	20764	3	broome	bash	configure.ocaml
0	0.088552	0.066897	0.022879	20028	4	broome	bash	configure.tcc
0	3.053710	2.163926	0.907183	24176	5	broome	bash	configure.yash
0	0.001147	0.001081	0.000000	1676	6	broome	dash	hello-world
0	0.018302	0.012694	0.006171	3812	7	broome	dash	abuild-print-help
0	26.957197	19.920647	7.955101	26824	8	broome	dash	configure.cpython
0	6.063123	3.617738	1.483361	20780	9	broome	dash	configure.ocaml
0	0.079265	0.051911	0.028052	20020	10	broome	dash	configure.tcc
0	3.022686	2.210727	0.815015	24196	11	broome	dash	configure.yash
0	0.068712	0.061031	0.007423	16600	12	broome	bin/osh	hello-world
0	0.754571	0.693978	0.066908	24184	13	broome	bin/osh	abuild-print-help
0	63.889929	41.912236	26.447753	55836	14	broome	bin/osh	configure.cpython
0	7.816280	4.916372	2.306829	21756	15	broome	bin/osh	configure.ocaml
0	0.340790	0.297853	0.048992	19948	16	broome	bin/osh	configure.tcc
0	4.658226	3.481138	1.295510	24236	17	broome	bin/osh	configure.yash
0	0.005358	0.005292	0.000000	5988	18	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.14.1/_bin/cxx-opt-sh/osh	hello-world
0	0.062612	0.053053	0.011052	11740	19	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.14.1/_bin/cxx-opt-sh/osh	abuild-print-help
0	38.806494	24.579692	16.182952	54572	20	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.14.1/_bin/cxx-opt-sh/osh	configure.cpython
0	6.390702	3.819525	1.670842	20816	21	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.14.1/_bin/cxx-opt-sh/osh	configure.ocaml
0	0.100867	0.072266	0.030282	20016	22	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.14.1/_bin/cxx-opt-sh/osh	configure.tcc
0	3.286148	2.344189	0.979850	24012	23	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.14.1/_bin/cxx-opt-sh/osh	configure.yash
