status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	task_id	host_name	sh_path	workload
0	0.000907	0.000889	0.000000	3344	0	hoover	bash	hello-world
0	0.013519	0.013097	0.000763	4928	1	hoover	bash	abuild-print-help
0	11.284806	8.177789	3.167764	32628	2	hoover	bash	configure.cpython
0	3.245756	1.572909	0.658762	26040	3	hoover	bash	configure.ocaml
0	0.040254	0.022015	0.016742	25776	4	hoover	bash	configure.tcc
0	1.370787	0.973134	0.385835	32600	5	hoover	bash	configure.yash
0	0.000488	0.000482	0.000000	1696	6	hoover	dash	hello-world
0	0.006624	0.005928	0.000845	4272	7	hoover	dash	abuild-print-help
0	11.384847	8.466386	2.974176	32696	8	hoover	dash	configure.cpython
0	3.198382	1.573059	0.585806	26004	9	hoover	dash	configure.ocaml
0	0.032022	0.020808	0.011197	25648	10	hoover	dash	configure.tcc
0	1.304658	0.952541	0.337121	32632	11	hoover	dash	configure.yash
0	0.037599	0.029221	0.008155	16528	12	hoover	bin/osh	hello-world
0	0.414125	0.391134	0.025523	21960	13	hoover	bin/osh	abuild-print-help
0	27.733752	18.873338	10.462784	34884	14	hoover	bin/osh	configure.cpython
0	3.943718	2.081585	0.977231	26028	15	hoover	bin/osh	configure.ocaml
0	0.174671	0.146313	0.031120	25712	16	hoover	bin/osh	configure.tcc
0	1.972026	1.488462	0.519264	32616	17	hoover	bin/osh	configure.yash
0	0.002090	0.002003	0.000000	6844	18	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.21.0/_bin/cxx-opt-sh/osh	hello-world
0	0.017840	0.012221	0.006165	10028	19	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.21.0/_bin/cxx-opt-sh/osh	abuild-print-help
0	12.883143	9.274642	3.793124	32656	20	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.21.0/_bin/cxx-opt-sh/osh	configure.cpython
0	3.319465	1.620697	0.694118	25960	21	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.21.0/_bin/cxx-opt-sh/osh	configure.ocaml
0	0.039289	0.024514	0.014701	25864	22	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.21.0/_bin/cxx-opt-sh/osh	configure.tcc
0	1.341990	0.934999	0.408706	32588	23	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.21.0/_bin/cxx-opt-sh/osh	configure.yash
