host_name	join_id	num_live	max_survived	num_allocated	num_in_heap	num_in_pool_1	num_in_pool_2	bytes_allocated	num_gc_points	num_collections	gc_threshold	num_growths	max_gc_millis	total_gc_millis	roots_capacity	objs_capacity
hoover	gc-16	4089	0	4089	732	2058	1299	276787	2	0	50000	0	0.0	0.0	1024	10240
hoover	gc-17	15244	3114	156084	17807	73529	64748	5035639	3008	3	50000	0	0.0	0.0	1024	10240
hoover	gc-18	42627	29090	1773718	99642	879566	794510	26489574	26514	62	50000	0	0.0	0.0	1024	10240
hoover	gc-19	42186	66493	2767026	128801	1324500	1313725	30218737	34470	43	132986	1	0.0	0.0	1024	10240
hoover	gc-20	42922	5421	136205	7654	64445	64106	3123481	1420	2	50000	0	0.0	0.0	1024	10240
hoover	gc-21	30929	0	30929	1747	14765	14417	1384214	271	0	50000	0	0.0	0.0	1024	10240
hoover	gc-22	8321	6906	140471	7663	68708	64100	3204030	2094	3	50000	0	0.0	0.0	1024	10240
hoover	gc-23	65960	42144	117572	5000	54907	57665	3021781	277	3	84288	1	0.0	0.0	1024	10240
hoover	gc-24	4089	0	4089	732	2058	1299	276867	2	0	50000	0	0.0	0.0	1024	10240
hoover	gc-25	15244	3114	156084	17807	73529	64748	5035719	3008	3	50000	0	0.0	0.0	1024	10240
hoover	gc-26	42627	29090	1773718	99642	879566	794510	26489654	26514	62	50000	0	0.0	0.0	1024	10240
hoover	gc-27	42186	66493	2767025	128800	1324500	1313725	30218416	34470	43	132986	1	0.0	0.0	1024	10240
hoover	gc-28	42922	5421	136205	7654	64445	64106	3123561	1420	2	50000	0	0.0	0.0	1024	10240
hoover	gc-29	30929	0	30929	1747	14765	14417	1384294	271	0	50000	0	0.0	0.0	1024	10240
hoover	gc-30	8321	6906	140471	7663	68708	64100	3204110	2094	3	50000	0	0.0	0.0	1024	10240
hoover	gc-31	65960	42144	117572	5000	54907	57665	3021861	277	3	84288	1	0.0	0.0	1024	10240
