status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	minor_faults	major_faults	swaps	in_block	out_block	signals	voluntary_ctx	involuntary_ctx	task_id	host_name	sh_path	workload
0	0.001054	0.000986	0.000000	3384	167	0	0	0	8	0	1	0	0	hoover	bash	hello-world
0	0.589295	0.426002	0.179523	3460	117300	0	0	0	8	0	1992	74	1	hoover	bash	bin-true
0	13.116424	9.001917	3.311737	32668	1929877	278	0	38944	25288	0	14324	1024	2	hoover	bash	configure.cpython
0	12.851299	9.136875	3.603004	36560	1798869	76	0	28544	35952	0	19402	1283	3	hoover	bash	configure.util-linux
0	3.301894	1.598044	0.657100	26088	345245	0	0	2584	4472	0	2091	296	4	hoover	bash	configure.ocaml
0	0.036374	0.020468	0.014753	25708	5412	0	0	312	88	0	47	3	5	hoover	bash	configure.tcc
0	1.821153	1.052503	0.468643	32584	181726	14	0	2152	3640	0	917	187	6	hoover	bash	configure.yash
0	0.013279	0.008371	0.004316	4960	2618	0	0	0	8	0	39	1	7	hoover	bash	abuild-print-help
0	0.000705	0.000000	0.000654	1552	90	0	0	0	8	0	1	0	8	hoover	dash	hello-world
0	0.889487	0.640398	0.227435	1648	86126	0	0	0	8	0	1999	115	9	hoover	dash	bin-true
0	13.364644	8.393098	3.210622	32576	1561714	0	0	16	25296	0	14056	1254	10	hoover	dash	configure.cpython
0	12.269665	8.393947	3.106753	36636	1426444	0	0	0	35952	0	18833	1390	11	hoover	dash	configure.util-linux
0	3.987047	1.840687	0.624008	25944	329420	0	0	0	4472	0	2020	296	12	hoover	dash	configure.ocaml
0	0.032325	0.018508	0.013205	25728	4639	0	0	0	88	0	42	22	13	hoover	dash	configure.tcc
0	1.625485	0.997463	0.404421	32716	171743	0	0	0	3640	0	887	166	14	hoover	dash	configure.yash
0	0.006356	0.003675	0.002754	4276	1367	0	0	0	8	0	35	0	15	hoover	dash	abuild-print-help
0	0.004777	0.002129	0.000000	7176	408	3	0	136	16	0	2	0	16	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/osh	hello-world
0	1.201305	0.754504	0.421305	9804	139264	3	0	0	16	0	1997	162	17	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/osh	bin-true
0	13.850541	8.533655	3.586289	32444	1764451	2	0	8	25304	0	9710	1177	18	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/osh	configure.cpython
0	13.955930	9.045045	3.696659	36504	1604489	1	0	8	35960	0	15212	1584	19	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/osh	configure.util-linux
0	3.725843	1.844262	0.714691	25908	353769	0	0	0	4480	0	2009	340	20	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/osh	configure.ocaml
0	0.040372	0.038421	0.001179	25708	5565	0	0	0	96	0	32	12	21	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/osh	configure.tcc
0	1.721860	1.039597	0.446379	32596	177589	0	0	0	3648	0	770	162	22	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/osh	configure.yash
0	0.019473	0.012546	0.006939	10268	3384	0	0	0	16	0	35	1	23	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/osh	abuild-print-help
0	0.002243	0.002163	0.000000	7220	409	0	0	0	16	0	1	0	24	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	hello-world
0	1.428501	0.875730	0.513212	9748	141048	0	0	0	16	0	1999	283	25	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	bin-true
0	13.474641	8.574804	3.402469	32640	1764990	0	0	8	25304	0	9701	1316	26	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	configure.cpython
0	13.992921	9.044394	3.533697	36604	1604968	0	0	0	35960	0	15203	1646	27	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	configure.util-linux
0	3.932390	1.790287	0.760960	26184	353953	0	0	0	4480	0	2021	358	28	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	configure.ocaml
0	0.034534	0.023885	0.010442	25712	5603	0	0	0	96	0	34	2	29	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	configure.tcc
0	1.505659	0.974593	0.387900	32784	179147	0	0	0	3648	0	770	111	30	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	configure.yash
0	0.019378	0.016946	0.002772	10276	3397	0	0	0	16	0	31	0	31	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	abuild-print-help
0	0.001024	0.000943	0.000000	4048	195	0	0	0	8	0	1	0	32	hoover	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.36.0/_bin/cxx-opt-sh/osh-static	hello-world
