status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	minor_faults	major_faults	swaps	in_block	out_block	signals	voluntary_ctx	involuntary_ctx	task_id	host_name	sh_path	workload
0	0.000831	0.000000	0.000796	3444	145	0	0	0	8	0	1	0	0	lenny	bash	hello-world
0	0.891447	0.674163	0.290977	3216	98203	0	0	0	8	0	1973	46	1	lenny	bash	bin-true
0	14.918867	11.490362	3.950127	26600	2194901	0	0	280	24504	0	14908	231	2	lenny	bash	configure.cpython
0	15.522700	12.006164	4.334793	29840	2103411	0	0	0	37736	0	17516	235	3	lenny	bash	configure.util-linux
0	4.028617	2.270974	0.803268	20700	406601	0	0	0	3704	0	1952	29	4	lenny	bash	configure.ocaml
0	0.050844	0.032524	0.019255	19848	6358	0	0	0	80	0	47	4	5	lenny	bash	configure.tcc
0	1.592112	1.183654	0.425298	24052	231772	0	0	0	3128	0	867	5	6	lenny	bash	configure.yash
0	0.019475	0.017464	0.002902	4968	2454	0	0	0	8	0	41	0	7	lenny	bash	abuild-print-help
0	0.000505	0.000473	0.000000	1712	70	0	0	0	8	0	1	0	8	lenny	dash	hello-world
0	0.286954	0.240290	0.048144	1676	66243	0	0	0	8	0	1653	257	9	lenny	dash	bin-true
0	13.889956	10.582381	3.580992	26532	1780398	0	0	0	24504	0	14737	139	10	lenny	dash	configure.cpython
0	13.870543	10.388396	3.922095	29712	1707469	0	0	8	37736	0	17358	221	11	lenny	dash	configure.util-linux
0	4.131569	2.337104	0.837873	20744	390242	0	0	0	3704	0	1952	16	12	lenny	dash	configure.ocaml
0	0.038670	0.025335	0.013970	20028	5573	0	0	0	80	0	42	4	13	lenny	dash	configure.tcc
0	1.569239	1.156528	0.423434	23912	222136	0	0	0	3128	0	866	11	14	lenny	dash	configure.yash
0	0.008666	0.009097	0.000000	3908	1162	0	0	0	8	0	38	0	15	lenny	dash	abuild-print-help
0	0.002501	0.002466	0.000000	6696	341	0	0	0	16	0	1	0	16	lenny	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.32.0/_bin/cxx-opt-sh/osh	hello-world
0	1.089648	0.757794	0.364453	9132	119069	0	0	0	16	0	1981	29	17	lenny	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.32.0/_bin/cxx-opt-sh/osh	bin-true
