host_name	join_id	num_live	max_survived	num_allocated	num_in_heap	num_in_pool_1	num_in_pool_2	bytes_allocated	num_gc_points	num_collections	gc_threshold	num_growths	max_gc_millis	total_gc_millis	roots_capacity	objs_capacity
lenny	gc-16	3969	0	3969	725	1972	1272	256812	2	0	50000	0	0.0	0.0	1024	10240
lenny	gc-17	21969	3024	162969	14799	77441	70729	4881333	3008	3	50000	0	0.0	0.0	1024	10240
lenny	gc-18	40303	26999	1856007	84968	928036	843003	25007556	27006	65	50000	0	0.0	0.0	1024	10240
lenny	gc-19	100357	66709	2858050	114893	1373223	1369934	29353017	36335	44	133418	1	0.0	0.0	1024	10240
lenny	gc-20	44877	4421	136675	7196	64391	65088	2845573	1422	2	50000	0	0.0	0.0	1024	10240
lenny	gc-21	31019	0	31019	1638	14838	14543	1372666	271	0	50000	0	0.0	0.0	1024	10240
lenny	gc-22	9540	6717	141395	7119	68869	65407	3158032	2095	3	50000	0	0.0	0.0	1024	10240
lenny	gc-23	65927	42110	117520	4968	54874	57678	3008373	277	3	84220	1	0.0	0.0	1024	10240
lenny	gc-24	3969	0	3969	725	1972	1272	256892	2	0	50000	0	0.0	0.0	1024	10240
lenny	gc-25	21969	3024	162969	14799	77441	70729	4881413	3008	3	50000	0	0.0	0.0	1024	10240
lenny	gc-26	40303	26999	1856007	84968	928036	843003	25007636	27006	65	50000	0	0.0	0.0	1024	10240
lenny	gc-27	100357	66709	2858049	114893	1373223	1369933	29352751	36335	44	133418	1	0.0	0.0	1024	10240
lenny	gc-28	44877	4421	136675	7196	64391	65088	2845654	1422	2	50000	0	0.0	0.0	1024	10240
lenny	gc-29	31019	0	31019	1638	14838	14543	1372747	271	0	50000	0	0.0	0.0	1024	10240
lenny	gc-30	9540	6717	141395	7119	68869	65407	3158119	2095	3	50000	0	0.0	0.0	1024	10240
lenny	gc-31	65927	42110	117520	4968	54874	57678	3008453	277	3	84220	1	0.0	0.0	1024	10240
