status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	minor_faults	major_faults	swaps	in_block	out_block	signals	voluntary_ctx	involuntary_ctx	task_id	host_name	sh_path	workload
0	0.001622	0.000000	0.001594	3556	148	0	0	0	8	0	1	0	0	mercer	bash	hello-world
0	1.008238	0.748039	0.337137	4060	107914	0	0	0	8	0	2001	5	1	mercer	bash	bin-true
0	20.099781	15.525668	5.186573	24360	1887428	0	0	0	25680	0	14136	162	2	mercer	bash	configure.cpython
0	18.763578	14.627325	4.880081	54580	1824015	4	0	8	37424	0	19142	222	3	mercer	bash	configure.util-linux
0	4.719230	2.713897	1.052784	18808	337697	0	0	0	4504	0	2037	25	4	mercer	bash	configure.ocaml
0	0.059813	0.052548	0.007928	17752	5754	0	0	0	88	0	45	0	5	mercer	bash	configure.tcc
0	2.364750	1.789187	0.585740	22780	199803	0	0	0	3768	0	881	19	6	mercer	bash	configure.yash
0	0.025129	0.018299	0.007722	5552	2545	0	0	0	8	0	40	0	7	mercer	bash	abuild-print-help
0	0.000911	0.000885	0.000000	1788	83	0	0	0	8	0	1	0	8	mercer	dash	hello-world
0	0.603675	0.507563	0.094788	1796	53789	1	0	0	8	0	2896	6	9	mercer	dash	bin-true
0	19.862630	15.580173	4.789382	24356	1892864	1	0	0	25712	0	14074	173	10	mercer	dash	configure.cpython
0	19.587689	14.844569	5.500204	54356	1979306	1	0	0	37400	0	17350	193	11	mercer	dash	configure.util-linux
0	4.609470	2.770323	0.859755	18860	317403	0	0	0	4504	0	2130	22	12	mercer	dash	configure.ocaml
0	0.053075	0.040803	0.012535	17820	4737	0	0	0	88	0	51	0	13	mercer	dash	configure.tcc
0	2.303580	1.776560	0.526357	22780	184370	0	0	0	3768	0	1006	14	14	mercer	dash	configure.yash
0	0.012387	0.005697	0.007101	4424	1226	0	0	0	8	0	35	0	15	mercer	dash	abuild-print-help
0	0.062618	0.047181	0.015358	18288	3896	0	0	0	8	0	7	2	16	mercer	bin/osh	hello-world
0	3.293600	2.481828	1.140696	18280	810723	0	0	0	8	0	2007	17	17	mercer	bin/osh	bin-true
0	46.585962	35.793835	13.734966	24548	6042176	1	0	0	25856	0	12921	243	18	mercer	bin/osh	configure.cpython
0	48.294442	37.799611	12.043501	54712	5165119	0	0	8	37528	0	17729	221	19	mercer	bin/osh	configure.util-linux
0	6.241523	4.065239	1.483383	19144	585704	0	0	0	4504	0	2001	35	20	mercer	bin/osh	configure.ocaml
0	0.295972	0.222215	0.078333	18720	23652	0	0	0	88	0	52	6	21	mercer	bin/osh	configure.tcc
0	3.877509	3.041062	0.912530	22996	338943	0	0	0	3816	0	870	23	22	mercer	bin/osh	configure.yash
0	0.688064	0.636472	0.056167	22804	24017	0	0	0	8	0	44	6	23	mercer	bin/osh	abuild-print-help
0	0.004232	0.000000	0.004205	7516	411	0	0	0	16	0	1	0	24	mercer	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.24.0/_bin/cxx-opt-sh/osh	hello-world
0	1.125023	0.786806	0.357030	10028	130437	0	0	0	16	0	2000	17	25	mercer	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.24.0/_bin/cxx-opt-sh/osh	bin-true
0	21.027906	16.053219	5.288848	24620	1987580	0	0	0	25744	0	12925	160	26	mercer	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.24.0/_bin/cxx-opt-sh/osh	configure.cpython
0	20.996921	15.450149	5.827297	54544	1905492	0	0	0	37416	0	17746	152	27	mercer	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.24.0/_bin/cxx-opt-sh/osh	configure.util-linux
0	4.896775	2.851226	1.099591	18764	353043	0	0	0	4512	0	2028	19	28	mercer	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.24.0/_bin/cxx-opt-sh/osh	configure.ocaml
0	0.072016	0.055606	0.017038	17824	6255	0	0	0	96	0	47	1	29	mercer	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.24.0/_bin/cxx-opt-sh/osh	configure.tcc
0	2.477734	1.849638	0.630441	23004	203270	0	0	0	3800	0	864	18	30	mercer	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.24.0/_bin/cxx-opt-sh/osh	configure.yash
0	0.035606	0.027391	0.009039	10368	3324	0	0	0	16	0	38	1	31	mercer	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.24.0/_bin/cxx-opt-sh/osh	abuild-print-help
