status,elapsed_secs,user_secs,sys_secs,max_rss_KiB,host_name,host_hash,shell_name,shell_hash,task_type,task_arg
0,0.002216,0.002209,0.000000,3348,spring,d80ab850,bash,9af8f89f,hello-world,hello-world
0,0.039627,0.033757,0.007425,4792,spring,d80ab850,bash,9af8f89f,abuild,abuild-help
0,25.317008,18.529443,7.668550,26768,spring,d80ab850,bash,9af8f89f,cpython,cpython-configure
0,5.828263,3.408672,1.507210,20764,spring,d80ab850,bash,9af8f89f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.083175,0.046177,0.038535,20048,spring,d80ab850,bash,9af8f89f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,2.936828,2.075755,0.884794,24036,spring,d80ab850,bash,9af8f89f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.001014,0.000985,0.000000,1700,spring,d80ab850,dash,9ff48631,hello-world,hello-world
0,0.016965,0.017270,0.000348,3820,spring,d80ab850,dash,9ff48631,abuild,abuild-help
0,25.417524,18.618031,7.713835,26628,spring,d80ab850,dash,9ff48631,cpython,cpython-configure
0,5.688420,3.456178,1.280534,20712,spring,d80ab850,dash,9ff48631,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.068438,0.057260,0.012037,20052,spring,d80ab850,dash,9ff48631,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,2.853046,2.052230,0.811333,24024,spring,d80ab850,dash,9ff48631,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.052350,0.051242,0.000000,12712,spring,d80ab850,osh,04b6d053,hello-world,hello-world
0,0.941962,0.907593,0.041469,19504,spring,d80ab850,osh,04b6d053,abuild,abuild-help
0,92.643170,62.641000,32.354378,43088,spring,d80ab850,osh,04b6d053,cpython,cpython-configure
0,7.596144,4.901575,2.052393,20760,spring,d80ab850,osh,04b6d053,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.367367,0.293474,0.084876,19996,spring,d80ab850,osh,04b6d053,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,5.204024,3.944525,1.502026,24128,spring,d80ab850,osh,04b6d053,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
