host,shell_name,shell_hash,filename,metric_name,metric_value
flanders,osh,75091300,test-cmd-util.sh,VmPeak,137044
flanders,osh,75091300,test-cmd-util.sh,VmRSS,102436
flanders,osh,02364ebc,test-cmd-util.sh,VmPeak,111024
flanders,osh,02364ebc,test-cmd-util.sh,VmRSS,98352
flanders,osh,75091300,t4014-format-patch.sh,VmPeak,54084
flanders,osh,75091300,t4014-format-patch.sh,VmRSS,19360
flanders,osh,02364ebc,configure-helper.sh,VmPeak,46068
flanders,osh,02364ebc,configure-helper.sh,VmRSS,33288
flanders,osh,02364ebc,build.sh,VmPeak,36964
flanders,osh,02364ebc,build.sh,VmRSS,24368
flanders,osh,02364ebc,t9300-fast-import.sh,VmPeak,29660
flanders,osh,02364ebc,t9300-fast-import.sh,VmRSS,16980
flanders,osh,75091300,functions,VmPeak,68512
flanders,osh,75091300,functions,VmRSS,33832
flanders,osh,75091300,configure-helper.sh,VmPeak,72084
flanders,osh,75091300,configure-helper.sh,VmRSS,37556
flanders,osh,75091300,abuild,VmPeak,79952
flanders,osh,75091300,abuild,VmRSS,45396
flanders,osh,02364ebc,t4014-format-patch.sh,VmPeak,27732
flanders,osh,02364ebc,t4014-format-patch.sh,VmRSS,15068
flanders,osh,75091300,build.sh,VmPeak,63236
flanders,osh,75091300,build.sh,VmRSS,28440
flanders,osh,75091300,t9300-fast-import.sh,VmPeak,56052
flanders,osh,75091300,t9300-fast-import.sh,VmRSS,21332
flanders,osh,02364ebc,ltmain.sh,VmPeak,108276
flanders,osh,02364ebc,ltmain.sh,VmRSS,95684
flanders,osh,02364ebc,abuild,VmPeak,53924
flanders,osh,02364ebc,abuild,VmRSS,40916
flanders,osh,02364ebc,functions,VmPeak,42256
flanders,osh,02364ebc,functions,VmRSS,29620
flanders,osh,75091300,Build.sh,VmPeak,73232
flanders,osh,75091300,Build.sh,VmRSS,38728
flanders,osh,02364ebc,configure,VmPeak,213884
flanders,osh,02364ebc,configure,VmRSS,201168
flanders,osh,75091300,ltmain.sh,VmPeak,134288
flanders,osh,75091300,ltmain.sh,VmRSS,99548
flanders,osh,02364ebc,Build.sh,VmPeak,46960
flanders,osh,02364ebc,Build.sh,VmRSS,34648
flanders,osh,75091300,configure,VmPeak,240156
flanders,osh,75091300,configure,VmRSS,205404
lisa,osh,75091300,test-cmd-util.sh,VmPeak,137300
lisa,osh,75091300,test-cmd-util.sh,VmRSS,102596
lisa,osh,02364ebc,test-cmd-util.sh,VmPeak,111028
lisa,osh,02364ebc,test-cmd-util.sh,VmRSS,98360
lisa,osh,75091300,t4014-format-patch.sh,VmPeak,54072
lisa,osh,75091300,t4014-format-patch.sh,VmRSS,19412
lisa,osh,02364ebc,configure-helper.sh,VmPeak,46068
lisa,osh,02364ebc,configure-helper.sh,VmRSS,33616
lisa,osh,02364ebc,build.sh,VmPeak,36964
lisa,osh,02364ebc,build.sh,VmRSS,24520
lisa,osh,02364ebc,t9300-fast-import.sh,VmPeak,29672
lisa,osh,02364ebc,t9300-fast-import.sh,VmRSS,17072
lisa,osh,75091300,functions,VmPeak,68512
lisa,osh,75091300,functions,VmRSS,34000
lisa,osh,75091300,configure-helper.sh,VmPeak,72340
lisa,osh,75091300,configure-helper.sh,VmRSS,37692
lisa,osh,75091300,abuild,VmPeak,80196
lisa,osh,75091300,abuild,VmRSS,45576
lisa,osh,02364ebc,t4014-format-patch.sh,VmPeak,27732
lisa,osh,02364ebc,t4014-format-patch.sh,VmRSS,15388
lisa,osh,75091300,build.sh,VmPeak,63236
lisa,osh,75091300,build.sh,VmRSS,28632
lisa,osh,75091300,t9300-fast-import.sh,VmPeak,55892
lisa,osh,75091300,t9300-fast-import.sh,VmRSS,21128
lisa,osh,02364ebc,ltmain.sh,VmPeak,108276
lisa,osh,02364ebc,ltmain.sh,VmRSS,95744
lisa,osh,02364ebc,abuild,VmPeak,53928
lisa,osh,02364ebc,abuild,VmRSS,41036
lisa,osh,02364ebc,functions,VmPeak,42208
lisa,osh,02364ebc,functions,VmRSS,29752
lisa,osh,75091300,Build.sh,VmPeak,73232
lisa,osh,75091300,Build.sh,VmRSS,38652
lisa,osh,02364ebc,configure,VmPeak,214144
lisa,osh,02364ebc,configure,VmRSS,201380
lisa,osh,75091300,ltmain.sh,VmPeak,134544
lisa,osh,75091300,ltmain.sh,VmRSS,99984
lisa,osh,02364ebc,Build.sh,VmPeak,47216
lisa,osh,02364ebc,Build.sh,VmRSS,34540
lisa,osh,75091300,configure,VmPeak,240156
lisa,osh,75091300,configure,VmRSS,205320
