"host_label","shell_label","total_lines","total_ms","lines_per_ms"
"flanders","bash",118863,534.4,222.423278443114
"flanders","dash",111674,95.3,1171.81532004197
"flanders","mksh",111674,261.8,426.562261268144
"flanders","osh-cpython",118863,22510.3,5.28038275811517
"flanders","osh-ovm",118863,24771.1,4.79845465078257
"flanders","zsh",118863,1768.4,67.2149966071025
"lisa","bash",118863,187.1,635.29128808124
"lisa","dash",111674,38.5,2900.62337662338
"lisa","mksh",111674,105.8,1055.51984877127
"lisa","osh-cpython",118863,10379.5,11.4517076930488
"lisa","osh-ovm",118863,10082,11.78962507439
"lisa","zsh",118863,719.8,165.133370380661
