"host_label","task_arg","bash","dash","osh","osh_to_bash_ratio"
"flanders","abuild-help",35.4,10.5,1644.4,46.4519774011299
"flanders","cpython-configure",23414.9,23093.1,30174.1,1.28867088904928
"flanders","ocaml-4.06.0",5492.9,5132.8,9072.6,1.65169582552022
"flanders","tcc-0.9.26",65.5,82.2,486.5,7.42748091603053
"flanders","yash-2.46",3012.6,2996.2,6297.1,2.09025426541858
"lisa","abuild-help",16.4,6.2,720,43.9024390243902
"lisa","cpython-configure",10381.3,10688.8,13448.4,1.29544469382447
"lisa","ocaml-4.06.0",2936.8,2900.2,5347.7,1.82092754017979
"lisa","tcc-0.9.26",32.7,28,212.8,6.50764525993884
"lisa","yash-2.46",1287.7,1213.2,2979.3,2.31366001397841
