Name:	python
Umask:	0002
State:	S (sleeping)
Tgid:	26304
Ngid:	0
Pid:	26304
PPid:	26289
TracerPid:	0
Uid:	1000	1000	1000	1000
Gid:	1000	1000	1000	1000
FDSize:	64
Groups:	4 24 27 30 46 113 128 1000 
NStgid:	26304
NSpid:	26304
NSpgid:	26167
NSsid:	14450
VmPeak:	   48480 kB
VmSize:	   48464 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	   14120 kB
VmRSS:	   14120 kB
RssAnon:	    7632 kB
RssFile:	    6488 kB
RssShmem:	       0 kB
VmData:	    7768 kB
VmStk:	     132 kB
VmExe:	    2936 kB
VmLib:	    5872 kB
VmPTE:	     112 kB
VmPMD:	      12 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
Threads:	1
SigQ:	1/95990
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000000000
SigIgn:	0000000001001000
SigCgt:	0000000188000002
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	0000003fffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Cpus_allowed:	ff
Cpus_allowed_list:	0-7
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	2
nonvoluntary_ctxt_switches:	2
