Name:	bash
Umask:	0002
State:	S (sleeping)
Tgid:	1042455
Ngid:	0
Pid:	1042455
PPid:	1042449
TracerPid:	0
Uid:	3672	3672	3672	3672
Gid:	3672	3672	3672	3672
FDSize:	64
Groups:	27 110 120 1001 3672 
NStgid:	1042455
NSpid:	1042455
NSpgid:	980152
NSsid:	35033
VmPeak:	   10104 kB
VmSize:	   10104 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	    3892 kB
VmRSS:	    3892 kB
RssAnon:	     404 kB
RssFile:	    3488 kB
RssShmem:	       0 kB
VmData:	     436 kB
VmStk:	     132 kB
VmExe:	     892 kB
VmLib:	    1864 kB
VmPTE:	      56 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
CoreDumping:	0
THP_enabled:	1
Threads:	1
SigQ:	1/62686
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000010000
SigIgn:	0000000000000004
SigCgt:	0000000000010002
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	000001ffffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Seccomp_filters:	0
Speculation_Store_Bypass:	thread vulnerable
SpeculationIndirectBranch:	conditional enabled
Cpus_allowed:	ffffff
Cpus_allowed_list:	0-23
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	2
nonvoluntary_ctxt_switches:	0
ALIVE
